"__typename","action","amount","assetPriceUSD","borrowRate","borrowRateMode","id","reserve","stableTokenDebt","timestamp","txHash","user","variableTokenDebt"
"Borrow","Borrow","200000000000000000","2716.27742923","32407407407407407407407407",2,"7998835:0:0x322d3e30fe40eece50e6b8060196e7184e8e7c7ebc0060d4e9d7e1b7611b8764:5:5","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""WETH""}","0",1647447115,"0x322d3e30fe40eece50e6b8060196e7184e8e7c7ebc0060d4e9d7e1b7611b8764","{""__typename"":""User"",""id"":""0x235d19279630c73680a55db20a31210603e785b3""}","200000000000000000"
"Borrow","Borrow","200000000","1.0002021","22660163879438184290920701",2,"8001176:0:0xdf4fc6e3c333ced34efe5382293d8c45b6d48533e5e1388c3731f1dbed1455d2:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647450441,"0xdf4fc6e3c333ced34efe5382293d8c45b6d48533e5e1388c3731f1dbed1455d2","{""__typename"":""User"",""id"":""0x13e965baafda80c7501c23cbed282d5e53e3066b""}","200000000"
"Borrow","Borrow","20000000","1.0002021","119620849545672597659208",2,"8005296:0:0x9f5ea5723b8caff784b86e8b88ac08842895d0f03bdf20714f5349a0fb596b17:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647454830,"0x9f5ea5723b8caff784b86e8b88ac08842895d0f03bdf20714f5349a0fb596b17","{""__typename"":""User"",""id"":""0x26730fa1e4215a43dc3298c39f863e270973bbdd""}","19999995"
"Borrow","Borrow","10000000","1.0002021","77041537795704308318006",2,"8008814:0:0x6d45c4c2314fb938e02d3fcb99e2e5a6e2174f00cc173ecf110fe9004d5ce7b0:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647458606,"0x6d45c4c2314fb938e02d3fcb99e2e5a6e2174f00cc173ecf110fe9004d5ce7b0","{""__typename"":""User"",""id"":""0x95b9f2f528338b0cdb3f14442837b0e7f05dceec""}","9999998"
"Borrow","Borrow","500000000","1.0002021","118968898574352397546377",2,"8010317:0:0x7922d158ef56bcc8f16300ea05dcc39bc520418c6cc4e39fcc84869e2e880e03:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647460231,"0x7922d158ef56bcc8f16300ea05dcc39bc520418c6cc4e39fcc84869e2e880e03","{""__typename"":""User"",""id"":""0x4b86a6d2c2c5e8bff8d3f3129c2ec4059821989b""}","499999877"
"Borrow","Borrow","24988847165","1.00041919","640000000000000000000000000",2,"8010649:0:0xd098aba95f0863a05364079096d8fd179c029816d6861bf86abd1d4bca83982b:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDT""}","0",1647460600,"0xd098aba95f0863a05364079096d8fd179c029816d6861bf86abd1d4bca83982b","{""__typename"":""User"",""id"":""0x9ee6f42531adac0bd443756f0120c6aeed354115""}","24988847165"
"Borrow","Borrow","400000000","1.0002021","184157331935973863967189",2,"8010761:19:0xa9d7211818c1dd557a8dffadfb33c87581c7b1e1f0dc04983661bafb4fc20ed9:49:49","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647460730,"0xa9d7211818c1dd557a8dffadfb33c87581c7b1e1f0dc04983661bafb4fc20ed9","{""__typename"":""User"",""id"":""0x35119741d2d3c40fcd456a93860f68c1754a4f56""}","399999901"
"Borrow","Borrow","9000922247","1.0002021","1651047378507804309278069",2,"8010762:4:0x3925a16cd6b96aae16c3fa9dafeedb28ef0604a28b448a5354b83f8940d04902:15:15","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647460730,"0x3925a16cd6b96aae16c3fa9dafeedb28ef0604a28b448a5354b83f8940d04902","{""__typename"":""User"",""id"":""0x9ee6f42531adac0bd443756f0120c6aeed354115""}","9000920022"
"Borrow","Borrow","750000000","1.0002021","1773275747241309738501963",2,"8011475:0:0x0dbd65a0928d69297295c0d0d67a2ea7a72df9fee8d91d201da20fdf94b6c43b:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647461410,"0x0dbd65a0928d69297295c0d0d67a2ea7a72df9fee8d91d201da20fdf94b6c43b","{""__typename"":""User"",""id"":""0x4b86a6d2c2c5e8bff8d3f3129c2ec4059821989b""}","1249999665"
"Borrow","Borrow","400000000000000000000","0.99981495","20010902214049215347499590",2,"8012749:0:0x6b6bdb090f507d6d3b25277f05c733c9985496b90b9de7327afb465c6cb700b7:5:5","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}","0",1647462619,"0x6b6bdb090f507d6d3b25277f05c733c9985496b90b9de7327afb465c6cb700b7","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","400000000000000000000"
"Borrow","Borrow","100000000000000000000","0.99981495","25013629652149387474848639",2,"8013075:0:0xacea7b04d29cded0add422eee57440f241b46f7a08bd9ab36c4557dc340e7da2:5:5","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}","0",1647462916,"0xacea7b04d29cded0add422eee57440f241b46f7a08bd9ab36c4557dc340e7da2","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","499999981154117847352"
"Borrow","Borrow","450000000","1.0002021","117808265876529175734013",2,"8013462:0:0xa9eb4aa643f58945a65011f82588f4caa276c1d9d782add539dc407c96dd49cf:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647463346,"0xa9eb4aa643f58945a65011f82588f4caa276c1d9d782add539dc407c96dd49cf","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","449999832"
